topology,algorithm,blocked,blocking_prob,utilization,fragmentation,time_s
Eurocore,first_fit,151,0.302,0.6728260869565217,2.9782608695652173,0.1460130214691162
Eurocore,parcel_fit,154,0.308,0.685054347826087,2.369565217391304,0.2907729148864746
Eurocore,sliding_fit,146,0.292,0.6641304347826087,3.5652173913043477,0.282073974609375
NSFNet,first_fit,205,0.41,0.7349431818181819,3.5681818181818183,0.17453885078430176
NSFNet,parcel_fit,207,0.414,0.7622159090909091,3.3181818181818183,0.3350348472595215
NSFNet,sliding_fit,203,0.406,0.7201704545454546,4.113636363636363,0.28924989700317383
UKNet,first_fit,222,0.444,0.48012820512820514,3.230769230769231,0.19430971145629883
UKNet,parcel_fit,229,0.458,0.49182692307692305,3.3974358974358974,0.33434486389160156
UKNet,sliding_fit,221,0.442,0.48028846153846155,3.641025641025641,0.33214592933654785
USNet,first_fit,170,0.34,0.43577302631578946,4.565789473684211,0.21654796600341797
USNet,parcel_fit,173,0.346,0.46792763157894735,5.0855263157894735,0.4248497486114502
USNet,sliding_fit,171,0.342,0.440625,4.6381578947368425,0.4538891315460205
